trial,state,l1,spectral,quantile,gradient,nll,seed,epoch,bulk_crps,extreme_crps,crps_total,crps_total_std,crps_total_sem,u_rmse,v_rmse,num_eval_seeds,is_best
10,COMPLETE,1.0,8.831076610726182,0.008136217475802617,8.638799138573688,0.05088325847609494,2,6,2.601696302044772,5.357587753374446,7.959284055419218,0.019650246588135033,0.011345075157302287,2.60146632138399,2.6900533540120573,3,False
11,COMPLETE,1.0,2.9436495458568688,0.04212153646445721,1.2868225012691135,0.21790493858765775,2,6,2.59514733542078,5.329163154778718,7.924310490199498,0.017123906713091178,0.009886492150381232,2.6013419498484853,2.6904118168252205,3,True
12,COMPLETE,1.0,2.426373978559691,0.04458511023099806,2.0892813070973184,0.147791152727032,2,6,2.5953848800232397,5.3299665943038255,7.925351474327065,0.011017054051950713,0.006360699122570402,2.600412018225723,2.6886386008770695,3,False
13,COMPLETE,1.0,2.5512566407960318,0.019676231865597877,1.5058403820910822,0.12679320120696613,2,6,2.5971627575245764,5.325965405333303,7.923128162857879,0.012930887022199963,0.007465651103127787,2.6021433547436668,2.689945493103853,3,True
14,COMPLETE,1.0,1.5778094729917527,0.015295824983584463,0.7451119386602267,0.13896697396166569,2,6,2.598945341035291,5.324846558012918,7.923791899048209,0.018355122239849836,0.01059733476618579,2.60489314443991,2.6920759970250128,3,False
15,PRUNED,1.0,1.398639745547689,0.005142282317932392,9.893515520060369,0.01022772883396899,0,1,2.6126083930389314,5.357694207387536,7.970302600426468,,,2.6181602724480877,2.70021756061916,,False
16,COMPLETE,1.0,0.9708312684026206,0.015264025575939633,0.6343667257682211,0.07106707321375512,2,6,2.601864805767214,5.3193704482443716,7.9212352540115845,0.017857249667522102,0.010309887902530242,2.605738507876819,2.6930505681442636,3,True
17,PRUNED,1.0,0.061673594955589835,0.023258928915576498,0.06498186181171417,0.07047326818984197,0,4,2.6141047453418067,5.268871750354697,7.882976495696504,,,2.622958352898306,2.705482948089059,,False
18,COMPLETE,1.0,0.7438287825406795,0.015250199358386287,4.300016380901212,0.035629001757306954,2,6,2.6013158157494245,5.336482797653342,7.937798613402766,0.0154818473752046,0.008938448749627077,2.6041866216004923,2.6889418622698216,3,False
19,PRUNED,1.0,4.294017540224525,0.058627315550317485,0.427324427791271,0.27238106915656735,0,1,2.636249138735501,5.323381548933712,7.959630687669213,,,2.6373406452306623,2.7170592557391764,,False
20,COMPLETE,1.0,0.9849528647975165,0.008092668031050613,0.8789647587504837,0.07713762408275038,2,6,2.6011713881005267,5.321041949484042,7.922213337584569,0.020099255860716665,0.01160431078169593,2.6054803099880846,2.6919436103028858,3,False
21,COMPLETE,1.0,0.828831614760974,0.006439131287044263,1.1081520966540814,0.0838650794323001,2,6,2.6003932985768348,5.323743038429014,7.924136337005848,0.0196773222230947,0.011360707282434731,2.605152538403423,2.691343277148938,3,False
22,PRUNED,1.0,0.07556098087989417,0.01678952533618945,0.39114352240957534,0.0183576274164394,0,1,2.645855584626419,5.339196736324755,7.985052320951175,,,2.647667644898976,2.7176266967477996,,False
23,COMPLETE,1.0,4.645872399126232,0.009408927943940945,5.253418666728577,0.029491588178019293,2,6,2.6011902073178885,5.338007539740552,7.939197747058441,0.020637718192695633,0.01191519215401246,2.60216061475381,2.688551374861447,3,False
24,COMPLETE,1.0,0.8474386577777624,0.027230182751153423,0.9735878698198843,0.11589770027237768,2,6,2.5991233128187727,5.321771737017307,7.920895049836079,0.018535345511275603,0.010701386720457692,2.6048693292574434,2.6914914711604943,3,True
25,PRUNED,1.0,0.8004307515231279,0.03297280629832078,0.08473044288563829,0.28070875258103484,0,1,2.6344250304633516,5.3155357536562375,7.94996078411959,,,2.638158848791578,2.732024806391999,,False
26,COMPLETE,1.0,1.3368951783540683,0.09275772760835202,0.8882707537426899,0.06932654089952237,2,6,2.5997243800001026,5.3199554698944835,7.919679849894585,0.019560242335650627,0.011293111177902205,2.6027919833973194,2.691088612241668,3,True
27,PRUNED,1.0,1.5796675639008402,0.13272581697884123,0.34257168502627755,0.04231801947690485,0,1,2.636765136622347,5.317394768741788,7.9541599053641345,,,2.631612318772777,2.7207304461343798,,False
28,PRUNED,1.0,0.531793558192437,0.07557491828406766,4.512308763114328,1.5594023515312814,0,1,2.61762017290844,5.348469402656077,7.966089575564517,,,2.622795449230307,2.7090434220249606,,False
29,PRUNED,1.0,0.10029699523836375,0.21251218447113523,0.2576903135883708,0.45222304500387805,0,1,2.628984579374383,5.3283412906070895,7.957325869981473,,,2.6281510448328165,2.7347661463291466,,False
30,PRUNED,1.0,0.032586954897894385,0.19251877552144828,0.11570130885897778,0.10706933383061361,0,1,2.6384656797569104,5.320037816370882,7.9585034961277925,,,2.633455180218522,2.740398769268821,,False
31,PRUNED,1.0,1.1771992502098485,0.010032806458674224,0.8568983024931549,0.06334277884167765,0,1,2.642043269913006,5.300977589758315,7.9430208596713205,,,2.647358963681684,2.7127197432639814,,False
32,PRUNED,1.0,0.24891122291555942,0.028830846539264415,0.6416566807482701,0.020596551207791934,0,1,2.642534338752468,5.3072558043680935,7.949790143120561,,,2.6455449445989645,2.714050883910721,,False
33,PRUNED,1.0,0.5908029885116288,0.011567532519304598,0.5082970251203008,0.24413708612922735,0,1,2.640875859529245,5.3172022628857984,7.958078122415044,,,2.6462231490250554,2.719214792877042,,False
34,COMPLETE,1.0,1.0537293161476093,0.061919687053011783,3.2852411804218073,0.0904169122992635,2,6,2.5966057487686123,5.330019066965746,7.926624815734358,0.010586132388647258,0.006111906384262511,2.601077851790272,2.6871961654972574,3,False
35,PRUNED,1.0,5.102618298327383,0.02830515639872236,0.23917680760245935,0.4216895404301631,0,1,2.6350375636259873,5.321646477248974,7.956684040874961,,,2.639763097375697,2.721125858289479,,False
36,PRUNED,1.0,0.44601823556951287,0.34236877052411585,1.6715558557482262,0.1749417701431133,0,1,2.6301138689227543,5.316202784697547,7.9463166536203005,,,2.6192652078500096,2.731270439514896,,False
37,COMPLETE,1.0,2.1258793444504245,0.0910226809309505,1.0363548238055016,0.02982038031172892,2,6,2.6001112420049766,5.316143819048417,7.916255061053394,0.017647430906991588,0.010188748984656916,2.6016667255391863,2.6903019677321622,3,True
38,COMPLETE,1.0,2.3087939331419887,0.10038495415275282,3.004547678288966,0.01237383928248258,2,6,2.5992753633108134,5.3245221652421195,7.9237975285529325,0.014800424602275585,0.008545029128244569,2.6009002324298796,2.687642854145881,3,False
39,PRUNED,1.0,6.169986805764871,0.3374071807214974,1.1979790009873665,0.025513205145955824,0,4,2.6230642352541955,5.2701411465456784,7.8932053817998735,,,2.6250648849247105,2.710741874792481,,False
40,PRUNED,1.0,0.27279607959540286,0.08584039032928678,0.18143204430721852,0.047118557185617714,0,1,2.636777993120681,5.302227781732997,7.939005774853678,,,2.6354034305340766,2.7318409992338526,,False
41,PRUNED,1.0,1.7740733102007658,0.1539739805852413,0.7610537280333693,0.060422615532840625,0,1,2.635992248619509,5.31220699615972,7.948199244779229,,,2.628934283605439,2.718648422819633,,False
42,PRUNED,1.0,1.0098988540455074,0.04322641346562292,0.9788022115678047,0.016097995292723304,0,1,2.640439611804356,5.3053346881626275,7.945774299966983,,,2.642500995659594,2.7122298244725256,,False
43,PRUNED,1.0,3.0945928359536072,0.7564877297967686,0.5881063960828016,0.0371108907836731,0,1,2.6985368668250245,5.3951560493105895,8.093692916135614,,,2.6652905395093702,2.8143079740569568,,False
44,COMPLETE,1.0,0.37041350078567764,0.004873476756455849,1.9110068109683063,0.09859894980530741,2,6,2.5990870899658605,5.330566877012459,7.929653966978319,0.013596545426501622,0.007849969162039687,2.6048236425939577,2.6901279411634733,3,False
45,PRUNED,1.0,0.7174789097235892,6.4755221424824745,0.30342211037869593,0.8371628843197677,0,1,3.4542318064381785,6.495515216838343,9.949747023276522,,,3.3345734686916364,3.641067875152958,,False
46,PRUNED,1.0,1.8986771027627762,0.013014531989549868,0.48048619594754305,0.02648034787882472,0,1,2.643275938965326,5.314206626385287,7.957482565350613,,,2.6492077028776317,2.714399381936673,,False
47,COMPLETE,1.0,3.367190106603198,0.007583578415902519,2.727292734895508,0.1744893599308529,2,6,2.595286718685731,5.331385466894611,7.926672185580341,0.010232498896809487,0.005907735992555506,2.6009134199871298,2.688427038156014,3,False
48,COMPLETE,1.0,6.904122228403423,0.022863891407067433,1.5976670465047216,0.05658589501427848,2,6,2.598677319842053,5.324058942854587,7.922736262696641,0.009719559489093348,0.005611590287432627,2.5994092740511276,2.689227107668755,3,False
49,COMPLETE,1.0,12.456707560597234,0.05746487873663529,0.9918072726294717,0.11069275473355006,2,6,2.5983693633159555,5.322150094911625,7.92051945822758,0.012428193155243315,0.007175420663720393,2.5994742834898195,2.6907322399198903,3,False
