band,band_label,component,metric,field,mean,se,n_events
4,>325km,u,melr,enscgp_mean,-0.10020741820335388,0.01946960240602493,100
4,>325km,u,melr,swin_q50,-0.042695485055446625,0.016586564481258392,100
4,>325km,v,freq_l1,bicubic,0.18309049308300018,0.005962036177515983,100
4,>325km,v,freq_l1,enscgp_mean,0.1889875829219818,0.005759546160697937,100
4,>325km,v,freq_l1,swin_q50,0.15896664559841156,0.005554163828492165,100
4,>325km,v,freq_l1_unweighted,bicubic,0.20256391167640686,0.006573108583688736,100
4,>325km,v,freq_l1_unweighted,enscgp_mean,0.2161296308040619,0.006498613208532333,100
4,>325km,v,freq_l1_unweighted,swin_q50,0.18209287524223328,0.006419897824525833,100
4,>325km,v,swd,bicubic,0.44206858314573766,0.021328172104162543,100
4,>325km,v,swd,enscgp_mean,0.5328310997784138,0.029619615917450597,100
4,>325km,v,swd,swin_q50,0.41675392739474776,0.02211653325666254,100
4,>325km,v,melr,bicubic,0.010835869237780571,0.00957259014248848,100
4,>325km,v,melr,enscgp_mean,-0.08364279568195343,0.013511291146278382,100
4,>325km,v,melr,swin_q50,-0.04620765149593353,0.009482517093420028,100
